date,max_temp,min_temp
2026-08-28,37.1,20.8
2026-08-29,36.7,21.8
2026-08-30,39.0,20.7
2026-08-31,33.8,18.4
2026-09-01,29.8,15.5
2026-09-02,29.1,14.0
2026-09-03,29.9,14.4
2026-09-04,30.1,16.4
